59 	59
68 	68
93 	93
6 	6
30 	30
35 	35
94 	94
91 	91
65 	65
13 	13
1 	1
14 	14
33 	33
30 	30
87 	87
65 	65
24 	24
58 	58
23 	23
52 	52
31 	31
8 	8
65 	65
47 	47
88 	88
80 	80
41 	41
84 	84
42 	42
98 	98
98 	98
83 	83
52 	52
29 	29
89 	89
43 	43
86 	86
3 	3
6 	6
56 	56
21 	21
73 	73
88 	88
44 	44
86 	86
29 	29
54 	54
24 	24
88 	88
21 	21
51 	51
7 	7
96 	96
83 	83
46 	46
10 	10
30 	30
75 	75
84 	84
90 	90
50 	50
98 	98
15 	15
77 	77
20 	20
46 	46
24 	24
79 	79
39 	39
24 	24
44 	44
23 	23
59 	59
4 	4
75 	75
89 	89
54 	54
30 	30
14 	14
52 	52
47 	47
87 	87
31 	31
36 	36
57 	57
51 	51
99 	99
45 	45
88 	88
15 	15
28 	28
56 	56
88 	88
15 	15
58 	58
18 	18
95 	95
8 	8
91 	91
32 	32
70 	70
90 	90
52 	52
99 	99
89 	89
97 	97
25 	25
72 	72
74 	74
42 	42
79 	79
82 	82
11 	11
53 	53
32 	32
69 	69
85 	85
78 	78
84 	84
88 	88
97 	97
72 	72
40 	40
89 	89
52 	52
5 	5
67 	67
92 	92
59 	59
96 	96
64 	64
97 	97
76 	76
89 	89
42 	42
69 	69
21 	21
64 	64
2 	2
49 	49
82 	82
67 	67
16 	16
74 	74
8 	8
89 	89
92 	92
24 	24
37 	37
85 	85
9 	9
79 	79
23 	23
86 	86
44 	44
24 	24
95 	95
42 	42
35 	35
60 	60
55 	55
54 	54
50 	50
98 	98
76 	76
74 	74
70 	70
59 	59
75 	75
63 	63
3 	3
67 	67
78 	78
65 	65
63 	63
34 	34
66 	66
73 	73
68 	68
83 	83
18 	18
56 	56
81 	81
96 	96
63 	63
47 	47
83 	83
15 	15
81 	81
97 	97
21 	21
50 	50
96 	96
73 	73
68 	68
23 	23
76 	76
38 	38
31 	31
19 	19
96 	96
36 	36
68 	68
68 	68
25 	25
80 	80
43 	43
52 	52
41 	41
44 	44
45 	45
38 	38
12 	12
12 	12
39 	39
34 	34
86 	86
90 	90
76 	76
26 	26
30 	30
65 	65
48 	48
79 	79
40 	40
76 	76
80 	80
23 	23
77 	77
20 	20
68 	68
56 	56
49 	49
4 	4
10 	10
29 	29
61 	61
35 	35
53 	53
48 	48
93 	93
96 	96
44 	44
46 	46
14 	14
79 	79
31 	31
15 	15
5 	5
9 	9
28 	28
25 	25
66 	66
22 	22
19 	19
96 	96
60 	60
74 	74
32 	32
49 	49
29 	29
72 	72
21 	21
57 	57
28 	28
39 	39
99 	99
33 	33
97 	97
6 	6
71 	71
78 	78
10 	10
68 	68
51 	51
90 	90
45 	45
14 	14
46 	46
43 	43
85 	85
8 	8
1 	1
80 	80
14 	14
13 	13
13 	13
52 	52
62 	62
12 	12
15 	15
